time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s)
0.074;0.0915;-0.9938;0.0805;0;0;0
0.076;0.0912;-0.9967;0.0852;-23.19707241;-45.90994718;0
0.077;0.0847;-1.0172;0.0717;-23.19707241;-45.90994718;0
0.134;0.0993;-1.0128;-0.0098;-23.19707241;-45.90994718;0
0.136;0.0939;-1.015;0.0195;-23.19707241;-45.90994718;0
0.137;0.0192;-0.9547;0.0681;-23.19707241;-45.90994718;0
0.196;-0.0096;-0.9164;0.1152;-23.19707241;-45.90994718;0
0.205;0.0077;-0.9642;0.0744;-23.19707241;-45.90994718;0
0.206;0.0073;-0.975;0.0439;-23.19707241;-45.90994718;0
0.25;0.0356;-0.9555;0.0605;-23.19707241;-45.90994718;0
0.251;0.0539;-0.9672;0.1162;-23.19707241;-45.90994718;0
0.252;0.0497;-0.9862;0.1623;-23.19707241;-45.90994718;0
0.31;0.038;-0.9874;0.122;-23.19707241;-45.90994718;0
0.311;0.009;-0.9472;0.1394;-23.19708068;-45.90994493;0
0.312;-0.0277;-0.913;0.1035;-23.19708068;-45.90994493;0
0.365;-0.0079;-0.9286;0.1379;-23.19708068;-45.90994493;0
0.366;0.0351;-1.018;0.125;-23.19708068;-45.90994493;0
0.366;0.0632;-0.9948;0.1438;-23.19708068;-45.90994493;0
0.425;0.0781;-0.9977;0.1464;-23.19708068;-45.90994493;0
0.426;0.02;-0.9679;0.0996;-23.19708068;-45.90994493;0
0.427;-0.0452;-0.8966;0.0668;-23.19708068;-45.90994493;0
0.482;0.0024;-0.9286;0.0983;-23.19708068;-45.90994493;0
0.484;0.0651;-1.0255;0.0949;-23.19708068;-45.90994493;0
0.485;0.0895;-1.0316;0.1599;-23.19708068;-45.90994493;0
0.54;0.0661;-0.986;0.1472;-23.19708068;-45.90994493;0
0.541;0.0031;-0.9699;0.0231;-23.19708068;-45.90994493;0
0.542;0.0068;-0.9821;0.0222;-23.19708068;-45.90994493;0
0.598;0.0512;-0.9826;0.1357;-23.19708068;-45.90994493;0
0.599;0.051;-1.0062;0.1794;-23.19708068;-45.90994493;0
0.6;0.0468;-0.9779;0.1291;-23.19708068;-45.90994493;0
0.657;0.0446;-0.9662;0.1057;-23.19708068;-45.90994493;0
0.659;0.0615;-0.9996;0.1606;-23.19708068;-45.90994493;0
0.659;0.0019;-0.9704;0.0566;-23.19708068;-45.90994493;0
0.714;0.0334;-0.962;0.1257;-23.19708068;-45.90994493;0
0.716;0.0234;-0.976;0.174;-23.19708068;-45.90994493;0
0.717;0.0073;-0.9371;0.113;-23.19708068;-45.90994493;0
0.774;0.0417;-0.9633;0.122;-23.19708068;-45.90994493;0
0.775;0.0627;-1.0143;0.1303;-23.19708068;-45.90994493;0
0.776;0.0265;-0.9642;0.1169;-23.19708068;-45.90994493;0
0.83;-0.0015;-0.9794;0.0883;-23.19708068;-45.90994493;0
0.83;0.0124;-0.9623;0.1333;-23.19708068;-45.90994493;0
0.831;0.0148;-0.9806;0.1203;-23.19708068;-45.90994493;0
0.888;-0.0047;-0.9669;0.1145;-23.19708068;-45.90994493;0
0.89;0.0165;-0.9586;0.1877;-23.19708068;-45.90994493;0
0.891;0.0317;-0.9789;0.1596;-23.19708068;-45.90994493;0
0.948;0.0224;-0.9796;0.0979;-23.19708068;-45.90994493;0
0.949;0.0148;-0.9918;0.1438;-23.19708068;-45.90994493;0
0.949;0.0107;-0.9623;0.1648;-23.19708068;-45.90994493;0
1.003;0.0224;-0.9655;0.1486;-23.19708068;-45.90994493;0
1.004;0.0109;-1.0163;0.1472;-23.19708068;-45.90994493;0
1.004;-0.0242;-0.8856;0.104;-23.19708068;-45.90994493;0
1.061;-0.0189;-0.9579;0.1447;-23.19708068;-45.90994493;0
1.062;0.0033;-0.9608;0.1452;-23.19708068;-45.90994493;0
1.062;0.0221;-0.9935;0.1425;-23.19708068;-45.90994493;0
1.121;0.0304;-0.9921;0.1645;-23.19708068;-45.90994493;0
1.121;0.0456;-0.9962;0.1359;-23.19708068;-45.90994493;0
1.122;0.0109;-0.9813;0.1442;-23.19708068;-45.90994493;0
1.178;0.0048;-0.9699;0.1088;-23.19708068;-45.90994493;0
1.179;0.0075;-0.9669;0.1152;-23.19708068;-45.90994493;0
1.179;0.0187;-0.9765;0.124;-23.19708068;-45.90994493;0
1.236;0.0285;-1.0011;0.1538;-23.19708068;-45.90994493;0
1.237;-0.014;-0.9379;0.1018;-23.19708068;-45.90994493;0
1.238;0.0024;-0.9569;0.1469;-23.19708068;-45.90994493;0
1.296;-0.0015;-0.9721;0.1513;-23.19708068;-45.90994493;0
1.297;0.0143;-0.9789;0.144;-23.19708068;-45.90994493;0
1.298;0.0197;-0.9874;0.1157;-23.19708068;-45.90994493;0
